PKO Bank Polski SA,10202124,Oddział 1 w Jeleniej Górze 
PKO Bank Polski SA,10202137,Oddział 1 w Bolesławcu 
PKO Bank Polski SA,10202212,Oddział 1 w Kaliszu 
PKO Bank Polski SA,10202241,Oddział 1 w Kępnie 
PKO Bank Polski SA,10202267,Oddział 1 w Ostrowie Wielkopolskim 
PKO Bank Polski SA,10202313,Oddział 1 w Katowicach 
PKO Bank Polski SA,10202368,Oddział 1 w Bytomiu 
PKO Bank Polski SA,10202384,Oddział 1 w Chrzanowie 
PKO Bank Polski SA,10202401,Oddział 1 w Gliwicach 
PKO Bank Polski SA,10202430,Oddział 1 w Olkuszu 
PKO Bank Polski SA,10202472,Oddział 1 w Rybniku 
PKO Bank Polski SA,10202498,Oddział 1 w Sosnowcu 
PKO Bank Polski SA,10202528,Oddział 1 w Tychach 
PKO Bank Polski SA,10202629,Oddział 1 w Kielcach 
PKO Bank Polski SA,10202645,Oddział 1 w Busku-Zdroju 
PKO Bank Polski SA,10202674,Oddział 1 w Ostrowcu Świętokrzyskim 
PKO Bank Polski SA,10202733,Oddział 1 w Jędrzejowie 
PKO Bank Polski SA,10202746,Oddział 1 w Koninie 
PKO Bank Polski SA,10202762,Oddział 1 w Kole 
PKO Bank Polski SA,10202791,Oddział 1 w Koszalinie 
PKO Bank Polski SA,10202821,Oddział 1 w Kołobrzegu 
PKO Bank Polski SA,10202847,Oddział 1 w Drawsku Pomorskim 
PKO Bank Polski SA,10202892,Oddział 1 w Krakowie 
PKO Bank Polski SA,10202906,Oddział 2 w Krakowie 
PKO Bank Polski SA,10202964,Oddział 1 w Krośnie 
PKO Bank Polski SA,10202980,Oddział 1 w Sanoku 
PKO Bank Polski SA,10203017,Oddział 1 w Legnicy 
PKO Bank Polski SA,10203088,Oddział 1 w Lesznie 
PKO Bank Polski SA,10203121,Oddział 1 w Gostyniu 
PKO Bank Polski SA,10203147,Oddział 1 w Lublinie 
PKO Bank Polski SA,10203150,Oddział 2 w Lublinie 
PKO Bank Polski SA,10203176,Oddział 4 w Lublinie 
PKO Bank Polski SA,10203206,Oddział 1 w Lubartowie 
PKO Bank Polski SA,10203219,Oddział 1 w Puławach 
PKO Bank Polski SA,10203235,Oddział 1 w Opolu Lubelskim 
PKO Bank Polski SA,10203352,Oddział 1 w Łodzi 
PKO Bank Polski SA,10203378,Oddział 3 w Łodzi 
PKO Bank Polski SA,10203408,Oddział 6 w Łodzi 
PKO Bank Polski SA,10203437,Oddział 1 w Pabianicach 
PKO Bank Polski SA,10203440,Oddział 1 w Zgierzu 
PKO Bank Polski SA,10203453,Oddział 1 w Nowym Sączu 
PKO Bank Polski SA,10203466,Oddział 1 w Nowym Targu 
PKO Bank Polski SA,10203541,Oddział 2 w Olsztynie 
PKO Bank Polski SA,10203570,Oddział 1 w Bartoszycach 
PKO Bank Polski SA,10203583,Oddział 1 w Iławie 
PKO Bank Polski SA,10203613,Oddział 1 w Ostródzie 
PKO Bank Polski SA,10203639,Oddział 1 w Mrągowie 
PKO Bank Polski SA,10203668,Oddział 1 w Opolu 
PKO Bank Polski SA,10203714,Oddział 1 w Kędzierzynie-Koźlu 
PKO Bank Polski SA,10203802,Oddział 1 w Ostrołęce 
PKO Bank Polski SA,10203844,Oddział 1 w Pile 
PKO Bank Polski SA,10203903,Oddział 1 w Wągrowcu 
PKO Bank Polski SA,10203916,Oddział 1 w Piotrkowie Trybunalskim 
PKO Bank Polski SA,10203958,Oddział 1 w Bełchatowie 
PKO Bank Polski SA,10203974,Oddział 2 w Płocku 
PKO Bank Polski SA,10204027,Oddział 1 w Poznaniu 
PKO Bank Polski SA,10204115,Oddział 1 w Gnieźnie 
PKO Bank Polski SA,10204128,Oddział 1 w Szamotułach 
PKO Bank Polski SA,10204144,Oddział 1 w Nowym Tomyślu 
PKO Bank Polski SA,10204160,Oddział 1 w Śremie 
PKO Bank Polski SA,10204274,Oddział 1 w Przemyślu 
PKO Bank Polski SA,10204287,Oddział 1 w Jarosławiu 
PKO Bank Polski SA,10204317,Oddział 1 w Radomiu 
PKO Bank Polski SA,10204391,Oddział 1 w Rzeszowie 
PKO Bank Polski SA,10204405,Oddział 2 w Rzeszowie 
PKO Bank Polski SA,10204476,Oddział 1 w Siedlcach 
PKO Bank Polski SA,10204564,Oddział 1 w Wieluniu 
PKO Bank Polski SA,10204580,Oddział 1 w Skierniewicach 
PKO Bank Polski SA,10204649,Oddział 1 w Słupsku 
PKO Bank Polski SA,10204665,Oddział 1 w Człuchowie 
PKO Bank Polski SA,10204681,Oddział 1 w Sławnie 
PKO Bank Polski SA,10204708,Oddział 1 w Bytowie 
PKO Bank Polski SA,10204724,Oddział 1 w Ełku 
PKO Bank Polski SA,10204753,Oddział 1 w Piszu 
PKO Bank Polski SA,10204795,Oddział 1 w Szczecinie 
PKO Bank Polski SA,10204812,Oddział 3 w Szczecinie 
PKO Bank Polski SA,10204867,Oddział 1 w Stargardzie Szczecińskim 
PKO Bank Polski SA,10204870,Oddział 1 w Świnoujściu 
PKO Bank Polski SA,10204900,Centrum Bankowości Detalicznej - BIS 
PKO Bank Polski SA,10204913,Oddział 1 w Tarnobrzegu 
PKO Bank Polski SA,10204926,Oddział 1 w Sandomierzu 
PKO Bank Polski SA,10204939,Oddział 1 w Stalowej Woli 
PKO Bank Polski SA,10204955,Oddział 2 w Tarnowie 
PKO Bank Polski SA,10204984,Oddział 1 w Brzesku 
PKO Bank Polski SA,10205011,Oddział 2 w Toruniu 
PKO Bank Polski SA,10205024,Oddział 1 w Brodnicy 
PKO Bank Polski SA,10205040,Oddział 1 w Grudziądzu 
PKO Bank Polski SA,10205095,Oddział 1 w Wałbrzychu 
PKO Bank Polski SA,10205112,Oddział 1 w Kłodzku 
PKO Bank Polski SA,10205138,Oddział 1 w Świdnicy 
PKO Bank Polski SA,10205170,Oddział 1 we Włocławku 
PKO Bank Polski SA,10205200,Oddział 1 w Ciechocinku 
PKO Bank Polski SA,10205226,Oddział 1 we Wrocławiu 
PKO Bank Polski SA,10205242,Oddział 3 we Wrocławiu 
PKO Bank Polski SA,10205297,Oddział 1 w Oleśnicy 
PKO Bank Polski SA,10205356,Oddział 1 w Zamościu 
PKO Bank Polski SA,10205385,Oddział 1 w Biłgoraju 
PKO Bank Polski SA,10205402,Oddział 1 w Zielonej Górze 
PKO Bank Polski SA,10205460,Oddział 1 w Żarach 
PKO Bank Polski SA,10205558,Departament Rozliczeń - Bankowość Elektroniczna 
PKO Bank Polski SA,10205561,Oddział 56 w Warszawie 
PKO Bank Polski SA,10205574,Departament Sprzedaży Detalicznej - Oddział 
PKO Bank Polski SA,10205587,Centrum Bankowości Prywatnej 
PKO Bank Polski SA,10205590,CENTRUM KORPORACYJNE I WARSZAWA - Rozliczenia 
PKO Bank Polski SA,10205604,Departament Rozliczeń - Świadczenia 
PKO Bank Polski SA,10205617,Departament Produktów Zarządzania Środkami Finansowymi - Płatności Masowe 6 
PKO Bank Polski SA,10205620,Departament Produktów Zarządzania Środkami Finansowymi - Płatności Masowe 7 
PKO Bank Polski SA,10205633,Departament Rozliczeń - Elixir Direct 
PKO Bank Polski SA,10205659,Niederlassung Deutschland 
PKO Bank Polski SA,14400003,PKOBP Centrala 
PKO Bank Polski SA,14401013,Oddział 2 w Żukowie 
PKO Bank Polski SA,14401026,Oddział 17 w Gdyni 
PKO Bank Polski SA,14401039,Centrum Bankowości Detalicznej - BIS 
PKO Bank Polski SA,14401042,Oddział 19 w Szczecinie 
PKO Bank Polski SA,14401055,Oddział 2 w Rumii 
PKO Bank Polski SA,14401068,Centrum Bankowości Detalicznej BIS 
PKO Bank Polski SA,14401071,Centrum Bankowości Detalicznej - BIS 
